filename,extracted_text,extracted_value
back_test.jpg,USP MANU 17/02/2024 300 rpm SET SPEED,300
blacken.jpg,machine is off,
IMG_20250217_092434_1.jpg,USPH-1 17/02/2024 MANUAL SET SPEED 300. rpm STOP AUT,300
IMG_20250217_092436.jpg,USPH-110 17/02/2024 MANUALN SETSPEED 300 STOP AUTOC,300
IMG_20250217_092436_1.jpg,USPH- 17/02/2024 MANUA SET SPEED 300 rpm STOP AL ACTUALSPEED rpm,300
IMG_20250217_092448.jpg,17/02/2024 MAN SETSPEED 300 rpm STOP,300
IMG_20250217_092450(1).jpg,USPH 17/02/2024 MANUA SET SPEED 300 rpm STOP,300
IMG_20250217_092500_1(1).jpg,USPH 17/02/2024 MANUA SET SPEED 300 rpm STOP ACTUAL SPEED rpm,300
IMG_20250217_092500_1.jpg,USPH- 17/02/2024 MANUA SET SPEED 300 rpm STOP A,300
IMG_20250217_092505(1).jpg,USPH 17/02/2024 MANU SET SPEED 300 rpm STOP ACTUALSPEED rpm,300
IMG_20250217_092505.jpg,USPI 17/02/2024 MANU SET SPEED 300 rpm STOP ACTUAL SPEED rpm,300
IMG_20250217_092506(1).jpg,USPH 17/02/2024 MANUA SET SPEED 300 rpm STOP ACTUALSPEED rpm,300
IMG_20250217_092506.jpg,USP 17/02/2024 MANU SET SPEED 300 (Range100-750) rpm STOP ACTUAL SPEED rpm,300
IMG_20250217_092508(1).jpg,17/02/2024 MA SET SPEED 300 rpm STOP ACTUAL SPEED rpm,300
IMG_20250217_092508.jpg,US 17/02/2024 MAN SETSPEED 300 rpm STOP ACTUALSPEED rpm,300
IMG_20250217_092510(1).jpg,USPH-1 17/02/2024 MANUAL SETSPEED 300 rpm STOP AU ACTUALSPEED rpm,300
IMG_20250217_092510.jpg,USPH 17/02/2024 MANU SET SPEED 300 rpm STOP ACTUALSPEED rpm,300
IMG_20250217_092513(1).jpg,17/02/2024 USF MANU SETSPEED 300 STOP ACTUAL SPEED rpm LADTIA,300
IMG_20250217_092513.jpg,USF 17/02/2024 MANL SET SPEEDS 300 STOP ACTUALSPEED,300
Nullg.jpg,machine is off,
zero.jpg,machine is off,
