filename,extracted_value,properties
back_test.jpg,300,{'set_speed': '300'}
IMG_20250217_092434_1.jpg,300,{'set_speed': '300'}
IMG_20250217_092436.jpg,300,{'set_speed': '300'}
IMG_20250217_092436_1.jpg,300,{'set_speed': '300'}
IMG_20250217_092448.jpg,300,{'set_speed': '300'}
IMG_20250217_092450(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092500_1(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092500_1.jpg,300,{'set_speed': '300'}
IMG_20250217_092505(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092505.jpg,300,{'set_speed': '300'}
IMG_20250217_092506(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092506.jpg,300,{'set_speed': '300'}
IMG_20250217_092508(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092508.jpg,300,{'set_speed': '300'}
IMG_20250217_092510(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092510.jpg,300,{'set_speed': '300'}
IMG_20250217_092513(1).jpg,300,{'set_speed': '300'}
IMG_20250217_092513.jpg,300,{'set_speed': '300'}
